Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000227_21I6LW_20150612_140706E	2015-06-12_14-07-06	Outdoors	
B00000228_21I6LW_20150612_140743E	2015-06-12_14-07-43	Outdoors	
B00000229_21I6LW_20150612_140822E	2015-06-12_14-08-22	Outdoors	
B00000230_21I6LW_20150612_140856E	2015-06-12_14-08-56	Outdoors	
B00000231_21I6LW_20150612_140936E	2015-06-12_14-09-36	Outdoors	
B00000232_21I6LW_20150612_141008E	2015-06-12_14-10-08	Outdoors	
B00000233_21I6LW_20150612_141042E	2015-06-12_14-10-41	Indoors	
B00000234_21I6LW_20150612_141513E	2015-06-12_14-15-13	Indoors	
B00000235_21I6LW_20150612_141526E	2015-06-12_14-15-25	Indoors	
B00000236_21I6LW_20150612_141559E	2015-06-12_14-15-59	Indoors	
B00000237_21I6LW_20150612_141636E	2015-06-12_14-16-36	Indoors	
B00000238_21I6LW_20150612_141707E	2015-06-12_14-17-07	Indoors	
B00000239_21I6LW_20150612_141737E	2015-06-12_14-17-37	Indoors	
B00000240_21I6LW_20150612_141807E	2015-06-12_14-18-07	Indoors	
B00000241_21I6LW_20150612_141837E	2015-06-12_14-18-37	Indoors	
B00000242_21I6LW_20150612_141908E	2015-06-12_14-19-08	Indoors	
B00000243_21I6LW_20150612_141939E	2015-06-12_14-19-39	Indoors	
B00000244_21I6LW_20150612_142010E	2015-06-12_14-20-10	Indoors	
B00000245_21I6LW_20150612_142041E	2015-06-12_14-20-41	Indoors	
B00000246_21I6LW_20150612_142111E	2015-06-12_14-21-11	Indoors	
B00000247_21I6LW_20150612_142142E	2015-06-12_14-21-42	Indoors	
B00000248_21I6LW_20150612_142213E	2015-06-12_14-22-13	Indoors	
B00000249_21I6LW_20150612_142244E	2015-06-12_14-22-44	Indoors	
B00000250_21I6LW_20150612_142315E	2015-06-12_14-23-15	Indoors	
B00000251_21I6LW_20150612_142346E	2015-06-12_14-23-46	Indoors	
B00000252_21I6LW_20150612_142417E	2015-06-12_14-24-17	Indoors	
B00000253_21I6LW_20150612_142447E	2015-06-12_14-24-47	Indoors	
B00000254_21I6LW_20150612_142518E	2015-06-12_14-25-18	Indoors	
B00000255_21I6LW_20150612_142548E	2015-06-12_14-25-48	Indoors	
B00000256_21I6LW_20150612_142619E	2015-06-12_14-26-19	Indoors	
B00000257_21I6LW_20150612_142650E	2015-06-12_14-26-50	Indoors	
B00000258_21I6LW_20150612_142720E	2015-06-12_14-27-20	Indoors	
B00000259_21I6LW_20150612_142751E	2015-06-12_14-27-51	Indoors	
B00000260_21I6LW_20150612_142822E	2015-06-12_14-28-22	Indoors	
B00000261_21I6LW_20150612_142853E	2015-06-12_14-28-53	Indoors	
B00000262_21I6LW_20150612_142924E	2015-06-12_14-29-24	Indoors	
