name,image_path,image_time,annotation
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000112_21I6LW_20150603_095826E.JPG,2015-06-03 09:58:26,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000113_21I6LW_20150603_095907E.JPG,2015-06-03 09:59:07,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000114_21I6LW_20150603_095940E.JPG,2015-06-03 09:59:40,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000115_21I6LW_20150603_100013E.JPG,2015-06-03 10:00:13,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000116_21I6LW_20150603_100046E.JPG,2015-06-03 10:00:46,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000117_21I6LW_20150603_100127E.JPG,2015-06-03 10:01:27,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000118_21I6LW_20150603_100202E.JPG,2015-06-03 10:02:02,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000119_21I6LW_20150603_100243E.JPG,2015-06-03 10:02:43,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000120_21I6LW_20150603_100320E.JPG,2015-06-03 10:03:20,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000121_21I6LW_20150603_100359E.JPG,2015-06-03 10:03:59,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000122_21I6LW_20150603_100432E.JPG,2015-06-03 10:04:32,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000123_21I6LW_20150603_100508E.JPG,2015-06-03 10:05:08,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000124_21I6LW_20150603_100542E.JPG,2015-06-03 10:05:42,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000125_21I6LW_20150603_100623E.JPG,2015-06-03 10:06:23,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000126_21I6LW_20150603_100700E.JPG,2015-06-03 10:07:00,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000127_21I6LW_20150603_100739E.JPG,2015-06-03 10:07:39,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000128_21I6LW_20150603_100814E.JPG,2015-06-03 10:08:14,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000129_21I6LW_20150603_100846E.JPG,2015-06-03 10:08:46,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000130_21I6LW_20150603_100927E.JPG,2015-06-03 10:09:27,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000131_21I6LW_20150603_101007E.JPG,2015-06-03 10:10:07,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000132_21I6LW_20150603_101045E.JPG,2015-06-03 10:10:45,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000133_21I6LW_20150603_101128E.JPG,2015-06-03 10:11:28,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000134_21I6LW_20150603_101202E.JPG,2015-06-03 10:12:02,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000135_21I6LW_20150603_101239E.JPG,2015-06-03 10:12:39,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000136_21I6LW_20150603_101320E.JPG,2015-06-03 10:13:20,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000137_21I6LW_20150603_101355E.JPG,2015-06-03 10:13:55,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000138_21I6LW_20150603_101428E.JPG,2015-06-03 10:14:28,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000139_21I6LW_20150603_101512E.JPG,2015-06-03 10:15:12,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000140_21I6LW_20150603_101630E.JPG,2015-06-03 10:16:30,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000141_21I6LW_20150603_101713E.JPG,2015-06-03 10:17:13,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000142_21I6LW_20150603_101804E.JPG,2015-06-03 10:18:04,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000143_21I6LW_20150603_101852E.JPG,2015-06-03 10:18:52,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000144_21I6LW_20150603_101924E.JPG,2015-06-03 10:19:24,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000145_21I6LW_20150603_102006E.JPG,2015-06-03 10:20:06,
pinocchio,C:\Users\Santhi\Desktop\23_33456_01_030615_AG_C\2015-06-04 08-36-32\\B00000146_21I6LW_20150603_102040E.JPG,2015-06-03 10:20:40,
